Close,Date
-213.47658,1999-07-06
-212.1016,1999-07-07
-211.97658,1999-07-08
-211.63283,1999-07-09
-211.16408,1999-07-12
-211.44533,1999-07-13
-210.78908,1999-07-14
-211.07033,1999-07-15
-208.5391,1999-07-16
-209.07034,1999-07-19
-211.60158,1999-07-20
-210.91408,1999-07-21
-212.72658,1999-07-22
-213.13283,1999-07-23
-214.44533,1999-07-26
-213.85158,1999-07-27
-213.25783,1999-07-28
-214.78908,1999-07-29
-215.35158,1999-07-30
-215.85158,1999-08-02
-215.88283,1999-08-03
-215.78908,1999-08-04
-215.38283,1999-08-05
-215.69533,1999-08-06
-216.35158,1999-08-09
-216.78908,1999-08-10
-216.1641,1999-08-11
-217.38283,1999-08-12
-215.91408,1999-08-13
-216.1016,1999-08-16
-215.9766,1999-08-17
-215.75783,1999-08-18
-216.35158,1999-08-19
-216.57031,1999-08-20
-215.0391,1999-08-23
-212.16408,1999-08-24
-210.60158,1999-08-25
-210.94533,1999-08-26
-211.63283,1999-08-27
-212.13283,1999-08-30
-211.97658,1999-08-31
-212.07034,1999-09-01
-212.3516,1999-09-02
-210.32033,1999-09-03
-211.13283,1999-09-07
-212.13283,1999-09-08
-211.2266,1999-09-09
-210.75783,1999-09-10
-211.32033,1999-09-13
-210.7266,1999-09-14
-211.94533,1999-09-15
-211.25784,1999-09-16
-210.03908,1999-09-17
-209.47658,1999-09-20
-210.94533,1999-09-21
-210.22658,1999-09-22
-212.66408,1999-09-23
-212.78908,1999-09-24
-212.53908,1999-09-27
-212.19533,1999-09-28
-213.50783,1999-09-29
-212.97658,1999-09-30
-213.26564,1999-10-01
-211.97658,1999-10-04
-212.3516,1999-10-05
-211.41408,1999-10-06
-211.38283,1999-10-07
-210.78908,1999-10-08
-211.10158,1999-10-11
-211.97658,1999-10-12
-212.72658,1999-10-13
-212.9141,1999-10-14
-214.22658,1999-10-15
-214.32033,1999-10-18
-215.1016,1999-10-19
-212.13283,1999-10-20
-211.7266,1999-10-21
-211.91408,1999-10-22
-212.03908,1999-10-25
-212.07034,1999-10-26
-212.82034,1999-10-27
-213.32033,1999-10-28
-211.97658,1999-10-29
-212.07034,1999-11-01
-211.97658,1999-11-02
-212.25783,1999-11-03
-212.38283,1999-11-04
-212.47658,1999-11-05
-213.28908,1999-11-08
-213.82033,1999-11-09
-214.69533,1999-11-10
-213.44534,1999-11-11
-213.66408,1999-11-12
-214.75783,1999-11-15
-214.60158,1999-11-16
-215.75783,1999-11-17
-215.78908,1999-11-18
-215.25783,1999-11-19
-213.35158,1999-11-22
-213.44534,1999-11-23
-212.41408,1999-11-24
-212.69533,1999-11-26
-213.1641,1999-11-29
-212.73439,1999-11-30
-211.66408,1999-12-01
-210.85158,1999-12-02
-210.19534,1999-12-03
-210.53908,1999-12-06
-211.75784,1999-12-07
-212.38283,1999-12-08
-211.88283,1999-12-09
-211.32033,1999-12-10
-209.94533,1999-12-13
-208.91408,1999-12-14
-204.0391,1999-12-15
-201.4141,1999-12-16
-200.63283,1999-12-17
-201.88284,1999-12-20
-200.32034,1999-12-21
-199.47658,1999-12-22
-199.53908,1999-12-23
-198.69534,1999-12-27
-199.50783,1999-12-28
-199.28908,1999-12-29
-199.44533,1999-12-30
-199.88283,1999-12-31
-199.97658,2000-01-03
-201.94534,2000-01-04
-201.3516,2000-01-05
-203.25783,2000-01-06
-202.5391,2000-01-07
-202.13283,2000-01-10
-203.57034,2000-01-11
-205.35158,2000-01-12
-204.35158,2000-01-13
-202.13283,2000-01-14
-200.60158,2000-01-18
-204.75783,2000-01-19
-205.25784,2000-01-20
-206.38283,2000-01-21
-207.63283,2000-01-24
-206.8516,2000-01-25
-208.57033,2000-01-26
-208.88283,2000-01-27
-209.13283,2000-01-28
-209.32033,2000-01-31
-206.78908,2000-02-01
-207.85158,2000-02-02
-206.44533,2000-02-03
-204.9766,2000-02-04
-204.94533,2000-02-07
-203.28908,2000-02-08
-206.25784,2000-02-09
-205.25784,2000-02-10
-208.28908,2000-02-11
-208.44534,2000-02-14
-208.97658,2000-02-15
-209.44533,2000-02-16
-208.44534,2000-02-17
-210.7266,2000-02-18
-211.35158,2000-02-22
-211.13283,2000-02-23
-210.88283,2000-02-24
-212.60158,2000-02-25
-212.47658,2000-02-28
-213.57033,2000-02-29
-212.8516,2000-03-01
-211.57033,2000-03-02
-210.19534,2000-03-03
-212.94533,2000-03-06
-211.82034,2000-03-07
-210.47658,2000-03-08
-208.25784,2000-03-09
-207.75783,2000-03-10
-209.25783,2000-03-13
-210.69534,2000-03-14
-210.57033,2000-03-15
-210.57033,2000-03-16
-208.57033,2000-03-17
-209.57034,2000-03-20
-206.88284,2000-03-21
-206.63284,2000-03-22
-202.32033,2000-03-23
-202.4141,2000-03-24
-206.22658,2000-03-27
-206.10158,2000-03-28
-204.6641,2000-03-29
-206.57033,2000-03-30
-205.13283,2000-03-31
-212.82034,2000-04-03
-213.9766,2000-04-04
-215.07034,2000-04-05
-215.25783,2000-04-06
-213.7266,2000-04-07
-215.22658,2000-04-10
-216.32033,2000-04-11
-218.57033,2000-04-12
-218.63283,2000-04-13
-221.19533,2000-04-14
-220.32033,2000-04-17
-217.97658,2000-04-18
-218.9141,2000-04-19
-218.7891,2000-04-20
-224.94534,2000-04-24
-223.57033,2000-04-25
-224.25784,2000-04-26
-223.35158,2000-04-27
-223.38283,2000-04-28
-221.5391,2000-05-01
-223.32033,2000-05-02
-222.97658,2000-05-03
-223.03908,2000-05-04
-222.69534,2000-05-05
-223.35158,2000-05-08
-224.3516,2000-05-09
-225.16408,2000-05-10
-224.32034,2000-05-11
-223.8516,2000-05-12
-223.57033,2000-05-15
-223.50783,2000-05-16
-224.41408,2000-05-17
-225.16408,2000-05-18
-225.72658,2000-05-19
-226.16408,2000-05-22
-226.66408,2000-05-23
-225.4766,2000-05-24
-227.50784,2000-05-25
-227.5391,2000-05-26
-226.57034,2000-05-30
